Learning,Face,image_0273.jpg,sT:1,1,s:0,0,0,s:0,0,0,s:0,sT:2,0,s:0,0,0,s:0,0,0,s:0,sT:3,0,s:0,0,0,s:0,0,0,s:0,sT:4,0,s:0,0,0,s:0,0,0,s:0,sT:5,0,s:21,0,0,s:0,0,0,s:0,sT:6,0,s:0,0,0,s:0,0,0,s:0,sT:7,0,s:0,0,0,s:0,0,0,s:0,sT:8,0,s:109,0,0,s:0,0,0,s:0,sT:9,0,s:88,0,0,s:0,0,0,s:0,sT:10,0,s:88,0,0,s:0,0,0,s:0,sT:11,0,s:598,0,0,s:0,0,0,s:0,sT:12,0,s:112,0,0,s:0,0,0,s:0,sT:13,0,s:289,0,0,s:0,0,0,s:0,sT:14,0,s:624,0,0,s:0,0,0,s:0
Learning,Motor,motor_0177.jpg,sT:1,0,s:0,0,0,s:0,0,0,s:0,sT:2,0,s:0,0,0,s:0,0,0,s:0,sT:3,0,s:180,0,0,s:0,0,0,s:0,sT:4,0,s:18,0,0,s:0,0,0,s:0,sT:5,0,s:110,0,0,s:0,0,0,s:0,sT:6,0,s:601,0,0,s:0,0,0,s:0,sT:7,0,s:1182,0,0,s:0,0,0,s:0,sT:8,0,s:2295,0,12,s:322678,0,0,s:0,sT:9,0,s:3419,0,16,s:416426,0,0,s:0,sT:10,0,s:6348,0,17,s:455702,0,0,s:0,sT:11,0,s:10680,0,16,s:422013,0,0,s:0,sT:12,0,s:12790,0,12,s:343460,0,0,s:0,sT:13,0,s:16383,0,4,s:98023,0,0,s:0,sT:14,0,s:22096,0,3,s:65559,0,0,s:0
Learning,Face,image_0298.jpg,sT:1,0,s:542,0,0,s:0,0,0,s:0,sT:2,0,s:338,0,0,s:0,0,0,s:0,sT:3,0,s:2220,0,0,s:0,0,0,s:0,sT:4,0,s:1848,0,8,s:347412,0,0,s:0,sT:5,0,s:4136,0,10,s:377230,0,0,s:0,sT:6,0,s:6668,0,10,s:267446,0,0,s:0,sT:7,0,s:9450,0,12,s:355798,0,0,s:0,sT:8,0,s:8228,0,5,s:111724,0,0,s:0,sT:9,0,s:7458,0,3,s:73296,0,0,s:0,sT:10,0,s:9032,0,1,s:19260,0,0,s:0,sT:11,0,s:7948,0,1,s:15600,0,0,s:0,sT:12,0,s:8396,0,1,s:16800,0,0,s:0,sT:13,0,s:8576,0,0,s:0,0,0,s:0,sT:14,0,s:9310,0,0,s:0,0,0,s:0
Learning,Face,image_0038.jpg,sT:1,0,s:198,0,0,s:0,0,0,s:0,sT:2,0,s:1660,0,0,s:0,0,0,s:0,sT:3,0,s:3648,0,4,s:151036,0,0,s:0,sT:4,0,s:7882,0,20,s:814072,0,0,s:0,sT:5,0,s:7168,0,10,s:340024,0,0,s:0,sT:6,0,s:6586,0,5,s:166568,0,0,s:0,sT:7,0,s:7320,0,1,s:25226,0,0,s:0,sT:8,0,s:9060,0,1,s:25868,0,0,s:0,sT:9,0,s:9016,0,0,s:13188,0,0,s:0,sT:10,0,s:13276,0,0,s:4450,0,0,s:0,sT:11,0,s:14098,0,0,s:3070,0,0,s:0,sT:12,0,s:16396,0,0,s:1160,0,0,s:0,sT:13,0,s:17198,0,0,s:0,0,0,s:0,sT:14,0,s:18638,0,0,s:0,0,0,s:0
Learning,Motor,motor_0072.jpg,sT:1,0,s:0,0,0,s:0,0,0,s:0,sT:2,0,s:76,0,0,s:0,0,0,s:0,sT:3,0,s:710,0,0,s:0,0,0,s:0,sT:4,0,s:5552,0,13,s:367784,0,0,s:0,sT:5,0,s:6338,0,16,s:562256,0,0,s:0,sT:6,0,s:6788,0,8,s:239870,0,0,s:0,sT:7,0,s:14692,0,6,s:179984,0,0,s:0,sT:8,0,s:21862,0,2,s:89704,0,0,s:0,sT:9,0,s:17424,0,1,s:23776,0,0,s:0,sT:10,0,s:16446,0,0,s:13200,0,0,s:0,sT:11,0,s:10438,0,0,s:960,0,0,s:0,sT:12,0,s:8798,0,0,s:1120,0,0,s:0,sT:13,0,s:10130,0,0,s:0,0,0,s:0,sT:14,0,s:17610,0,0,s:0,0,0,s:0
4,27,18,1,0,0,0,0,0,50,-1,1,30,458,2387,4469,3162,921,118,140,11434,-1,5,57,476,2388,4469,3162,921,118,140,11484
Training,Face,image_0062.jpg,sT:1,0,s:0,0,0,s:0,0,0,s:0,sT:2,0,s:0,0,0,s:0,0,0,s:0,sT:3,0,s:0,0,0,s:0,0,0,s:0,sT:4,0,s:0,0,0,s:0,0,0,s:0,sT:5,0,s:0,0,0,s:0,0,0,s:0,sT:6,0,s:0,0,0,s:0,0,0,s:0,sT:7,0,s:0,0,0,s:0,0,0,s:0,sT:8,0,s:0,0,0,s:0,0,0,s:0,sT:9,0,s:0,0,0,s:0,0,0,s:0,sT:10,0,s:0,0,0,s:0,0,0,s:0,sT:11,0,s:0,0,0,s:0,0,0,s:0,sT:12,0,s:0,0,0,s:0,0,0,s:0,sT:13,0,s:0,0,0,s:0,0,0,s:0,sT:14,0,s:0,0,0,s:0,0,0,s:0
Training,Face,image_0236.jpg,sT:1,0,s:0,0,0,s:0,0,0,s:0,sT:2,0,s:0,0,0,s:0,0,0,s:0,sT:3,0,s:0,0,0,s:0,0,0,s:0,sT:4,0,s:0,0,0,s:0,0,0,s:0,sT:5,0,s:0,0,0,s:0,0,0,s:0,sT:6,0,s:0,0,0,s:0,0,0,s:0,sT:7,0,s:0,0,0,s:0,0,0,s:0,sT:8,0,s:0,0,0,s:0,0,0,s:0,sT:9,0,s:0,0,0,s:0,0,0,s:0,sT:10,0,s:0,0,0,s:0,0,0,s:0,sT:11,0,s:0,0,0,s:0,0,0,s:0,sT:12,0,s:0,0,0,s:0,0,0,s:0,sT:13,0,s:0,0,0,s:0,0,0,s:0,sT:14,0,s:0,0,0,s:0,0,0,s:0
Training,Face,image_0128.jpg,sT:1,0,s:0,0,0,s:0,0,0,s:0,sT:2,0,s:0,0,0,s:0,0,0,s:0,sT:3,0,s:0,0,0,s:0,0,0,s:0,sT:4,0,s:0,0,0,s:0,0,0,s:0,sT:5,0,s:0,0,0,s:0,0,0,s:0,sT:6,0,s:0,0,0,s:0,0,0,s:0,sT:7,0,s:0,0,0,s:0,0,0,s:0,sT:8,0,s:0,0,0,s:0,0,0,s:0,sT:9,0,s:0,0,0,s:0,0,0,s:0,sT:10,0,s:0,0,0,s:0,0,0,s:0,sT:11,0,s:0,0,0,s:0,0,0,s:0,sT:12,0,s:0,0,0,s:0,0,0,s:0,sT:13,0,s:0,0,0,s:0,0,0,s:0,sT:14,0,s:0,0,0,s:0,0,0,s:0
Training,Face,image_0364.jpg,sT:1,0,s:0,0,0,s:0,0,0,s:0,sT:2,0,s:0,0,0,s:0,0,0,s:0,sT:3,0,s:0,0,0,s:0,0,0,s:0,sT:4,0,s:0,0,0,s:0,0,0,s:0,sT:5,0,s:0,0,0,s:0,0,0,s:0,sT:6,0,s:0,0,0,s:0,0,0,s:0,sT:7,0,s:0,0,0,s:0,0,0,s:0,sT:8,0,s:0,0,0,s:0,0,0,s:0,sT:9,0,s:0,0,0,s:0,0,0,s:0,sT:10,0,s:0,0,0,s:0,0,0,s:0,sT:11,0,s:0,0,0,s:0,0,0,s:0,sT:12,0,s:0,0,0,s:0,0,0,s:0,sT:13,0,s:0,0,0,s:0,0,0,s:0,sT:14,0,s:0,0,0,s:0,0,0,s:0
